,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0008006572723388671,0.00075044924337574,0.03941502571105957,0.04190528334571215,3,1,"{'n_neighbors': 3, 'p': 1}",0.8635187958697661,0.8208671105200811,0.8492826933994401,0.8105116598271844,0.8002551991973592,0.8288870917627662,0.023820568277461034,5
1,0.0020043373107910155,0.003103610717060489,0.005974245071411133,0.004168493351675509,3,2,"{'n_neighbors': 3, 'p': 2}",0.8069664512420267,0.7918673028966918,0.8236676857647514,0.7310295501043123,0.7481209153014203,0.7803303810618404,0.03518159858975902,10
2,0.002443075180053711,0.003958407789478231,0.021526098251342773,0.0031499231645740924,5,1,"{'n_neighbors': 5, 'p': 1}",0.8757996939050148,0.8239941089861393,0.8457915814548755,0.8071592764129867,0.8131018593926141,0.8331693040303261,0.02506024781717656,2
3,0.0022723197937011717,0.0028130064234031015,0.008443784713745118,0.002534117587190622,5,2,"{'n_neighbors': 5, 'p': 2}",0.8373212294165637,0.8018983440618357,0.831995890485057,0.7501844866143311,0.7773538092368969,0.7997507519629369,0.03290695850518355,9
4,0.0010957717895507812,0.0014191957272792735,0.016211795806884765,0.002459781058679791,7,1,"{'n_neighbors': 7, 'p': 1}",0.8791297772796747,0.8244026502393006,0.8454370635971433,0.8059458163881217,0.8126122124031299,0.833505503981474,0.026468337266717237,1
5,0.0005990505218505859,0.0004891294510679321,0.009023332595825195,0.0025500776322849657,7,2,"{'n_neighbors': 7, 'p': 2}",0.8465989552327304,0.802342994892709,0.8305548037924905,0.7641188020186186,0.7892333871195121,0.8065697886112121,0.02931933832187958,7
6,0.00020008087158203126,0.0004001617431640626,0.015395879745483398,0.003818958200543363,9,1,"{'n_neighbors': 9, 'p': 1}",0.8732893908853298,0.8250409162304893,0.8437388857958403,0.8072664540346042,0.8054841933937791,0.8309639680680085,0.025300251269506115,3
7,0.0,0.0,0.008570098876953125,0.004302690584909618,9,2,"{'n_neighbors': 9, 'p': 2}",0.8539488597120526,0.801907312076564,0.8275513104503347,0.7642808231957411,0.7966907965448902,0.8088758203959167,0.03021953504505733,6
8,0.0015067577362060547,0.002541965903748006,0.01829972267150879,0.003973845260367308,11,1,"{'n_neighbors': 11, 'p': 1}",0.8762522309772806,0.8228429835467133,0.8376786363054712,0.8082241451908869,0.8036158445091631,0.8297227681059031,0.026151024593375826,4
9,0.0,0.0,0.010350275039672851,0.003604548735310957,11,2,"{'n_neighbors': 11, 'p': 2}",0.8509139480443085,0.7973225752597652,0.8244051191575559,0.7663412899788923,0.7910564482079082,0.8060078761296859,0.029077247293329743,8
